symbol,short_name
SSWL,STEEL STRIPS WHEEL
TDPOWERSYS,TD POWER SYSTEMS P
JTLIND,JTL INDUSTRIES LIMITED
EPIGRAL,EPIGRAL LIMITED
TIMETECHNO,TIME TECHNOPLAST
TARC,Anant Raj Global Limited
FCL,FINEOTEX CHEMICAL
VMART,V-MART RETAIL LTD
RAJRATAN,Rajratan Global Wire Ltd
LGBBROSLTD,LG BALAKRISHNA & B
NUCLEUS,NUCLEUS SOFTWARE
LUXIND,LUX INDUSTRIES LTD
ASHOKA,ASHOKA BUILDCON LT
DELTACORP,DELTA CORP LTD
BCG,BRIGHTCOM GROUP
NEOGEN,NEOGEN CHEMICALS
WABAG,VA TECH WABAG LTD
KIRLPNU,Kirloskar Pneumatic Com L
SHARDAMOTR,SHARDA MOTOR INDUS
JTEKTINDIA,JTEKT INDIA LTD
ITDC,INDIA TOURISM DEV
BOROLTD,Borosil Limited
ASHAPURMIN,ASHAPURA MINE CHEM
IFBIND,IFB INDUSTRIES LTD
SUDARSCHEM,SUDARSHAN CHEMICAL
SUNFLAG,SUNFLAG IRON & STE
HATHWAY,HATHWAY CABLE & DA
HIKAL,HIKAL LTD
TATVA,Tatva Chin Pharm Chem Ltd
BALMLAWRIE,BALMER LAWRIE
BHARATRAS,BHARAT RASAYAN LTD
KOLTEPATIL,KOLTE-PATIL DEVELO
HLEGLAS,HLE Glascoat Limited
HINDWAREAP,HINDWARE HME INOVATON LTD
FLAIR,Flair Writing Indust Ltd
INDOCO,INDOCO REMEDIES LT
SAMHI,Samhi Hotels Limited
AVALON,Avalon Technologies Ltd
ORCHPHARMA,Orchid Pharma Limited
HARSHA,Harsha Engineers Int Ltd
KDDL,KDDL LTD
BAJAJHIND,BAJAJ HINDUSTHAN S
SANGHVIMOV,SANGHVI MOVERS
ESAFSFB,ESAF Small Finance Bank L
SUBROS,SUBROS LTD
PILANIINVS,PILANI INVESTMENT
GULFOILLUB,GULF OIL LUBRICANT
GREAVESCOT,GREAVES COTTON LTD
EMUDHRA,eMudhra Limited
IDEAFORGE,Ideaforge Techno Ltd
KIRLOSIND,KIRLOSKAR IND LTD
UFLEX,UFLEX LTD
GANESHHOUC,GANESH HOUSING CP
DYNAMATECH,DYNAMATIC TECHNOLO
MAITHANALL,MAITHAN ALLOYS LTD
TVSSRICHAK,TVS SRICHAKRA LTD
LANDMARK,Landmark Cars Limited
KSCL,KAVERI SEED COMPAN
NAVNETEDUL,NAVNEET EDUCATION
TASTYBITE,TASTY BITE EATABLE
THYROCARE,THYROCARE TECHNOL
SAKSOFT,SAKSOFT LTD
TATAMETALI,TATA METALIKS
GMRP&UI,GMR Pow and Urban Infra L
DISHTV,DISH TV INDIA LTD
CARTRADE,Cartrade Tech Limited
DALMIASUG,DALMIA BHARAT SUGA
NILKAMAL,NILKAMAL LTD
SAGCEM,SAGAR CEMENTS
DCXINDIA,DCX Systems Limited
POLYPLEX,POLYPLEX CORP
TRIL,TRANSFORM & RECTIF
SANGHIIND,SANGHI INDUSTRIES
SHALBY,SHALBY LTD
VSTTILLERS,VST TILLERS TRACT
GRWRHITECH,Garware Hi-Tech Films Lim
NRBBEARING,NRB BEARINGS
SUNDARMHLD,SUNDARAM FINANCE H
AUTOAXLES,AUTOMOTIVE AXLES
YATHARTH,Yatharth Hosp & Tra C S L
BANARISUG,BANNARI AMMAN SUG
GENSOL,Gensol Engineering Ltd
BOMDYEING,BOMBAY DYEING &MFG
PFOCUS,PRIME FOCUS
GUFICBIO,GUFIC BIOSCIENCES
SBCL,Shivalik Bimetal Con. Ltd
BAJAJCON,BAJAJ CONSUMER
INNOVACAP,Innova Captab Limited
INOXGREEN,Inox Green Energy Ser Ltd
SUNCLAY,Sundaram Clayton Limited
SOMANYCERA,SOMANY CERAMICS LD
MOLDTKPAC,MOLD-TEK PACKAGING
JCHAC,JOHNSON CONTROLS-H
DIVGIITTS,Divgi Torqtransfer Syst L
PRAKASH,PRAKASH INDUSTRIES
APOLLO,APOLLO MICRO SYSTE
SANDHAR,SANDHAR TECHNOLOGI
GREENPLY,GREENPLY INDUSTRIE
SWARAJENG,SWARAJ ENGINES
WENDT,WENDT (INDIA)
STYLAMIND,Stylam Industries Limited
CIGNITITEC,CIGNITI TECHNOLOGI
MPSLTD,MPS LTD
IFGLEXPOR,IFGL EXPORTS LTD
KINGFA,KINGFA SCIENCE & T
SHILPAMED,SHILPA MEDICARE
DREAMFOLKS,Dreamfolks Services Ltd
SEPC,SEPC LIMITED
IMAGICAA,IMAGICAAWORLD ENT LTD
UNICHEMLAB,UNICHEM LABS
MUKANDLTD,MUKAND
VENUSPIPES,Venus Pipes & Tubes Ltd
SEQUENT,SEQUENT SCIENTIFIC
CARERATING,CARE RATINGS LTD
PGIL,PEARL GLOBAL INDUS
HERITGFOOD,HERITAGE FOODS LTD
BSHSL,Bombay Super Hybrid Seeds
TARSONS,Tarsons Products Limited
PARAS,Paras Def and Spce Tech L
MAHLOG,MAHINDRA LOGISTICS
JINDALPOLY,JINDAL POLY FILMS
FIEMIND,FIEM INDUSTRIES LT
PSPPROJECT,PSP PROJECTS LIMIT
ISMTLTD,ISMT LTD
VENKEYS,VENKY'S (INDIA)
BBL,BHARAT BIJLEE
PARAGMILK,PARAG MILK FOODS
DEN,DEN NETWORKS LTD
ZAGGLE,Zaggle Prepa Ocean Ser L
IOLCP,IOL CHEMICALS&PHAR
ASHIANA,ASHIANA HOUSING LD
PFS,PTC INDIA FINANCIA
ANUP,THE ANUP ENGINEERI
IMFA,INDIAN METALS & FE
APOLLOPIPE,Apollo Pipes Limited
VPRPL,Vishnu Prakash R Pungli L
DCAL,DISHMAN CARBOGEN
GANDHAR,Gandhar Oil Refine Ind L
GOODLUCK,GOODLUCK INDIA LTD
OPTIEMUS,OPTIEMUS INFRACOM
SEAMECLTD,SEAMEC LTD
SATIN,SATIN CRCARE NET
APCOTEXIND,APCOTEX INDUSTRIES
GIPCL,GUJARAT IND POWER
LUMAXTECH,LUMAX AUTO TECHNOL
DOLLAR,DOLLAR INDUSTRIES
BARBEQUE,Barbeque Nation Hosp. Ltd
UNIPARTS,Uniparts India Limited
VINDHYATEL,VINDHYA TELELINKS
MBAPL,Madhya Bharat Agro P. Ltd
GOCLCORP,GOCL CORPORATION L
DIAMONDYD,PRATAAP SNACKS LTD
CONFIPET,Confidence Petro Ind Ltd.
STYRENIX,STYRENIX PERFORMANCE LTD
SUPRIYA,Supriya Lifescience Ltd
EVEREADY,EVEREADY INDUSTRIE
GLOBUSSPR,GLOBUS SPIRITS LTD
BEPL,BHANSALI ENG POLYM
UGROCAP,Ugro Capital Limited
MOREPENLAB,MOREPEN LABORATORI
MAYURUNIQ,MAYUR UNIQUOTERS L
HMT,HMT LTD (INDIA)
MUFIN,Mufin Green Finance Ltd
TIDEWATER,TIDE WATER OIL (IN
IKIO,Ikio Lighting Limited
REPCOHOME,REPCO HOME FIN LTD
AXISCADES,AXISCADES TECHNOLO
FOSECOIND,FOSECO(INDIA)
ARTEMISMED,ARTEMIS MEDICARE
SOTL,SAVITA OIL TECHNOL
ANDHRAPAP,ANDHRA PAPER LIMITED
SIYSIL,SIYARAM SILK
HONDAPOWER,HONDA INDIA POWER
HINDOILEXP,HINDUSTAN OIL EXPL
INDIAGLYCO,INDIA GLYCOL
TCNSBRANDS,TCNS CLOTHING CO L
PRECAM,PRECISION CAMSHAF
EMSLIMITED,EMS Limited
SKIPPER,SKIPPER LTD
DHANI,DHANI SERVICES LIMITED
MMFL,M.M. FORGINGS
VISHNU,VISHNU CHEMICALS L
ALEMBICLTD,ALEMBIC LTD
LUMAXIND,LUMAX INDUSTRIES
KRSNAA,Krsnaa Diagnostics Ltd
CAMLINFINE,CAMLIN FINE SCIENC
YATRA,Yatra Online Limited
MANORAMA,Manorama Industries Ltd
PITTIENG,PITTI ENGINEERING
TIRUMALCHM,THIRUMALAI CHEM
UDS,Updater Services Limited
SIRCA,Sirca Paint India Limited
SESHAPAPER,SESHASAYEE PAPER&B
BFUTILITIE,BF UTILITIES LTD
RISHABH,Rishabh Instruments Ltd
IRMENERGY,IRM Energy Limited
RPGLIFE,RPG LIFE SCIENCES
CARYSIL,CARYSIL LIMITED
SDBL,SOM DIST & BREW LTD
ADFFOODS,ADF FOODS LTD
ORIENTHOT,ORIENTAL HOTELS
FILATEX,FILATEX INDIA
PCJEWELLER,PC JEWELLER LIMITE
63MOONS,63 MOONS TECHNOLOG
FINOPB,Fino Payments Bank Ltd
EVERESTIND,EVEREST INDUSTRIES
RPSGVENT,RPSG VENTURES LIMITED
HUHTAMAKI,HUHTAMAKI INDIA LIMITED
PRECWIRE,PRECISION WIRES IN
GTPL,GTPL HATHWAY LTD
ASTEC,ASTEC LIFESCIENCES
XPROINDIA,XPRO INDIA LTD.
SADHNANIQ,Sadhana Nitrochem Limited
GANECOS,GANESHA ECOSPHERE
GREENPOWER,ORIENT GREEN POWER
JINDRILL,JINDAL DRILLING
RUPA,RUPA & CO LTD
SANGAMIND,SANGAM INDIA
ARMANFIN,ARMAN FINANCIAL SE
ATFL,AGRO TECH FOODS
HIL,HIL LIMITED
MTNL,MAHANAGAR TELEP NI
KSL,KALYANI STEELS
ACCELYA,ACCELYA SOLUTIONS
SASKEN,SASKEN TECHNOLOGIE
BHARATWIRE,BHARAT WIRE ROPES
SHRIRAMPPS,Shriram Properties Ltd
INDOSTAR,INDOSTAR CAP FIN
SALASAR,SALASAR TECHNO ENG
VIDHIING,VIDHI SPECIALTY FO
TNPL,TAMIL NADU NEWSPRI
PARACABLES,PARAMOUNT COMMUNIC
KIRIINDUS,KIRI INDUSTRIES LT
TCPLPACK,TCPL PACKAGING LTD
ADORWELD,ADOR WELDING
MANGLMCEM,MANGALAM CEMENT
JAGRAN,JAGRAN PRAKASHAN L
RIIL,RELIANCE IND INFRA
SPECTRUM,error
EXPLEOSOL,EXPLEO SOLUTIONS
BFINVEST,BF INVESTMENT LTD
SHK,S H KELKAR AND COM
PANAMAPET,PANAMA PETROCHEM L
VAKRANGEE,VAKRANGEE LTD
FMGOETZE,FED MOGUL GOETZE
AEROFLEX,Aeroflex Industries Ltd
TTKHLTCARE,TTK HEALTHCARE
INSECTICID,INSECTICIDES INDIA
VERANDA,Veranda Learning Sol Ltd
THEJO,Thejo Engineering Limited
KCP,KCP LTD
MOL,Meghmani Organics Limited
CANTABIL,CANTABIL RETAIL IN
THEMISMED,THEMIS MEDICARE LT
MARATHON,MARATHON NEXTGEN
ARVSMART,ARVIND SMARTSPACES
QUICKHEAL,QUICK HEAL TECHNOL
SJS,SJS Enterprises Limited
SMLISUZU,SML ISUZU LTD
GNA,GNA AXLES LTD
SUBEXLTD,Subex Ltd
DPSCLTD,DPSC LIMITED
RAMCOIND,RAMCO INDUSTRIES
JASH,Jash Engineering Limited
SHAKTIPUMP,SHAKTI PUMPS INDIA
MUFTI,Credo Brands Marketing L
GEOJITFSL,GEOJIT FINANCIAL S
BUTTERFLY,BUTTERFLY GANDHIMA
YASHO,Yasho Industries Limited
TALBROAUTO,TALBROS AUTO
CAPACITE,CAPACIT'E INFRAPRO
RANEHOLDIN,RANE HOLDINGS LTD
GOKULAGRO,GOKUL AGRO RES LTD
GOLDIAM,GOLDIAM INTERNATL
VADILALIND,VADILAL INDUSTRIES
NITINSPIN,NITIN SPINNERS LTD
NELCO,NELCO
MADRASFERT,MADRAS FERTILIZERS
VSSL,VARDHMAN SPECIAL S
HLVLTD,HLV LIMITED
RAMASTEEL,RAMA STEEL TUBES
ROSSELLIND,ROSSELL INDIA LTD
PIXTRANS,Pix Transmissions Limited
SUVEN,SUVEN LIFE SCIENCE
5PAISA,5PAISA CAPITAL LTD
UNITECH,UNITECH LIMITED
PNBGILTS,PNB GILTS
CENTUM,CENTUM ELECTRONICS
AMRUTANJAN,AMRUTANJAN HEALTH
HARIOMPIPE,Hariom Pipe Industries L
MANINDS,MAN INDUSTRIES (IN
BCLIND,BCL Industries Limited
PREMEXPLN,PREMIER EXPLOSIVES
WHEELS,WHEELS INDIA LTD
NDTV,NEW DELHI TELEVISI
DHAMPURSUG,DHAMPUR SUGAR MILL
PENIND,PENNAR INDUSTRIES
DCW,DCW
DREDGECORP,DREDGING CORP IND
NSIL,NALWA SONS INVEST
SPCENET,SPACENET ENTERPRIS
GTLINFRA,GTL INFRASTRUCTURE
SURYODAY,Suryoday Small Fin Bk Ltd
UNIVCABLES,UNIVERSAL CABLES
SICALLOG,Sical Logistics Limited
HIMATSEIDE,HIMATSINGKA SEIDE
FAIRCHEMOR,Fairchem Organics Limited
DEEPINDS,Deep Industries Limited
DWARKESH,DWARIKESH SUGAR IN
IGARASHI,IGARASHI MOTORS IN
SHANKARA,SHANKARA BUILDING
SERVOTECH,Servotech Power Sys Ltd.
PUNJABCHEM,PUNJAB CHEM&CROP
ACLGATI,ALLCARGO GATI LIMITED
CONTROLPR,CONTROL PRINT LTD
COSMOFIRST,COSMO FIRST LIMITED
HPL,HPL ELECTRIC POWER
BHAGCHEM,Bhagiradha Chem & Inds L
AHL,Abans Holdings Limited
HERANBA,Heranba Industries Ltd
ATULAUTO,ATUL AUTO LTD
GVKPIL,GVK POWER & INFRAS
INDRAMEDCO,INDRAPRASTHS MEDIC
SIGACHI,Sigachi Industries Ltd
NPST,error
HITECH,HI TECH PIPES LTD
SPIC,SOUTHERN PETROCHEM
AJMERA,AJMERA REALTY & IN
MVGJL,Manoj Vaibhav Gem N Jew L
VASCONEQ,VASCON ENGINEERS L
GENESYS,GENESYS INTL
UTTAMSUGAR,UTTAM SUGAR MILLS
NIITLTD,NIIT
SHAILY,Shaily Eng Plastics Ltd
NAVKARCORP,NAVKAR CORPORATION
GEPIL,GE POWER INDIA LTD
BAJEL,Bajel Projects Limited
SPAL,S.P.APPARELS LTD
APTECHT,APTECH LTD
ANDHRSUGAR,ANDHRA SUGARS
KUANTUM,Kuantum Papers Limited
KRISHANA,Krishana Phoschem Limited
KITEX,KITEX GARMENTS LTD
CUPID,CUPID LTD(INDIA)
POKARNA,POKARNA LTD
KABRAEXTRU,KABRA EXTRUSIONTEC
STOVEKRAFT,Stove Kraft Limited
DPABHUSHAN,D. P. Abhushan Limited
MONARCH,Monarch Networth Cap Ltd
JSLL,error
OMINFRAL,OM INFRA LIMITED
SURAJEST,Suraj Estate Developers L
MONTECARLO,MONTE CARLO FASHIO
NACLIND,NACL INDUSTRIES LT
KOKUYOCMLN,KOKUYO CAMLIN LTD
PENINLAND,PENINSULA LAND LTD
MANGCHEFER,MANGALORE CHEMICAL
IGPL,IG PETROCHEMICAL
BLKASHYAP,B.L. KASHYAP & SON
KICL,KALYANI INVESTMENT
TAJGVK,TAJ GVK HOTELS
EKC,EVEREST KANTO CYLI
JITFINFRA,JITF INFRALOGISTIC
HARDWYN,Hardwyn India Limited
SYNCOMF,Syncom Formu (I) Ltd
BETA,error
EIHAHOTELS,EIH ASSOC HOTELS
ONWARDTEC,ONWARD TECHNO
KSOLVES,Ksolves India Limited
ALICON,ALICON CASTALLOY L
AVTNPL,AVT NATURAL PROD
SATIA,Satia Industries Limited
VALIANTORG,Valiant Organics Limited
SUMMITSEC,SUMMIT SECURITIES
AGARIND,AGARWAL INDUSTRIAL
NGLFINE,NGL Fine Chem Limited
SHREDIGCEM,SHREE DIGVIJAY CEMENT
AWHCL,Antony Waste Hdg Cell Ltd
NELCAST,NELCAST LTD
OMAXE,OMAXE LTD
MANALIPETC,MANALI PETROCHEMS
HEUBACHIND,HEUBACH COLORANTS IND LTD
INDORAMA,INDO RAMA SYNTHETC
COFFEEDAY,COFFEE DAY ENTERPR
OAL,Oriental Aromatics Limite
AVADHSUGAR,AVADH SUGAR ENERGY
DCMSRIND,DCM Shriram Ind Ltd
TEXINFRA,TEXMACO INFRA & HO
RML,RANE(MADRAS)LTD
REFEX,REFEX INDUSTRIES L
ROTO,Roto Pumps Limited
GULPOLY,GULSHAN POLYOLS LT
MARINE,Marine Electrical (I) Ltd
SASTASUNDR,SASTASUNDAR VENTUR
RAMRAT,Ram Ratna Wires Limited
SATINDLTD,Sat Industries Limited
BLISSGVS,BLISS GVS PHARMA
SOLARA,SOLARA ACTIVE PHAR
ATL,Allcargo Terminals Ltd
MATRIMONY,MATRIMONY COM LTD
GMBREW,GM BREWERIES
STERTOOLS,STERLING TOOLS
SHALPAINTS,SHALIMAR PAINTS
CLSEL,Chaman Lal Setia Exp Ltd
INDIANHUME,INDIAN HUME PIPE
TVTODAY,TV TODAY NETWORK
REPRO,REPRO INDIA LTD
IMPAL,INDIA MOTOR PARTS
STEELCAS,Steelcast Limited
HESTERBIO,HESTER BIOSCIENCES
JYOTISTRUC,JYOTI STRUCTURES
ZOTA,Zota Health Care Limited
LINCOLN,LINCOLN PHARMA LTD
INDNIPPON,INDIA NIPPON ELECT
XCHANGING,XCHANGING SOLUTION
CENTRUM,CENTRUM CAPITAL
RICOAUTO,RICO AUTO INDS
FOCUS,Focus Lightg
KOPRAN,KOPRAN LTD
BIGBLOC,BIGBLOC CONSTRUCTI
SHIVALIK,Shivalik Rasayan Limited
GICHSGFIN,GIC HOUSING FINANC
JAYBARMARU,JAY BHARAT MARUTI
DLINKINDIA,D-LINK (INDIA)LTD
TFCILTD,TOURISM FIN CORP
INNOVANA,error
EXCELINDUS,EXCEL INDUSTRIES
ONMOBILE,ONMOBILE GLOBAL LT
GRMOVER,GRM Overseas Limited
REMUS,error
TRACXN,Tracxn Technologies Ltd
HERCULES,HERCULES HOISTS
AGSTRA,AGS Transact Tech Ltd
TREL,Transindia Real Estate L
ARIHANTSUP,ARIHANT SUPERSTRUC
DVL,DHUNSERI VENTURES
UNIENTER,UNIPHOS ENTERPRISE
LIKHITHA,Likhitha Infrastruc Ltd
GANESHBE,Ganesh Benzoplast Limited
SKYGOLD,Sky Gold Limited
SPORTKING,Sportking India Limited
FAZE3Q,Faze Three Limited
KAMOPAINTS,Kamdhenu Ventures Limited
CHEMCON,Chemcon Special Chem Ltd
RAJRILTD,Raj Rayon Industries Ltd
GFLLIMITED,GFL LIMITED
INFOBEAN,InfoBeans Techno. Ltd.
CREATIVE,Creative Peripherals and
SMCGLOBAL,SMC Global Securities Ltd
SNOWMAN,SNOWMAN LOGISTICS
CONSOFINVT,CONSOLIDATED FINVE
NINSYS,NINtec Systems Limited
ASIANENE,Asian Energy Services Ltd
MKPL,M K Proteins Limited
GIRIRAJ,error
SBGLP,Suratwwala Bus Group Ltd
BODALCHEM,BODAL CHEMICALS
RUSHIL,RUSHIL DECOR LTD
V2RETAIL,V2 RETAIL LTD
VISHNUINFR,error
BAJAJHCARE,Bajaj Healthcare Limited
CSLFINANCE,CSL Finance Limited
RAMCOSYS,RAMCO SYSTEMS
PANACEABIO,PANACEA BIOTEC LTD
RSWM,RSWM LTD
NAHARSPING,NAHAR SPINNING
JAGSNPHARM,JAGSONPAL PHARMACE
SKMEGGPROD,SKM EGG PRODUCTS
DBOL,Dhampur Bio Organics Ltd
NCLIND,NCL INDUSTRIES
SMSPHARMA,SMS PHARMACEUTICAL
ACL,Andhra Cements Limited
VHL,VARDHAMAN HOLDINGS
NDRAUTO,NDR Auto Components Ltd
LINC,LINC LIMITED
ALLSEC,ALLSEC TECHNOLOGIE
ONEPOINT,ONE POINT ONE SOLU
RGL,RENAISSANCE GLOBAL
DENTALKART,error
STEELXIND,STEEL EXCHANGE IND
KAMDHENU,KAMDHENU LTD
AMBIKCO,AMBIKA COTTON MILL
KELLTONTEC,KELLTON TECH SOLU
ICEMAKE,Ice Make Refrigerat Ltd
SPENCERS,SPENCERS RETAIL
MOTISONS,Motisons Jewellers Ltd
SRHHYPOLTD,SREE RAYALASEEMA H
MAGADSUGAR,MAGADH SUGAR & ENE
GPTINFRA,GPT INFRAPROJECTS
SCHAND,S CHAND AND COMPAN
ASIANTILES,ASIAN GRANITO INDI
DYCL,Dynamic Cables Limited
SUTLEJTEX,SUTLEJ TEXTILES
E2E,E2E Networks Limited
WEBELSOLAR,WEBSOL ENERGY SYST
RADIANTCMS,Radiant Cash Mgmt Ser Ltd
PPL,PRAKASH PIPES LTD
CENTENKA,CENTURY ENKA
ZEEMEDIA,ZEE MEDIA CORP
GANDHITUBE,GANDHI SPECIAL TUB
MSPL,MSP STEEL & POWER
YUKEN,Yuken India Limited
HIRECT,HIND RECTIFIERS LT
EIMCOELECO,EIMCO ELECON INDIA
UGARSUGAR,UGAR SUGAR WORKS
AMNPLST,Amines & Plasticizers Ltd
HPAL,HP Adhesives Limited
SREEL,SREELEATHERS LTD
ORIENTPPR,ORIENT PAPER & IND
SPECIALITY,SPECIALITY RESTAUR
JUBLINDS,JUBILANT INDUSTRIE
TRU,TRUCAP FINANCE LIMITED
ORIANA,error
TNPETRO,TAMILNADU PETRO PR
VIMTALABS,VIMTA LABORATORIES
DPWIRES,D P Wires Limited
KERNEX,KERNEX MICROSYSTEM
WINDLAS,Windlas Biotech Limited
DHARMAJ,Dharmaj Crop Guard Ltd
VINYAS,error
INDOAMIN,Indo Amines Limited
SILVERTUC,Silver Touch Techno Ltd
GKWLIMITED,GKW LIMITED
ASALCBR,Asso Alcohols & Brew Ltd
MUNJALAU,MUNJAL AUTO INDUST
ENIL,ENTERTAINMENT NETW
BLAL,BEML Land Assets Limited
ROHLTD,ROYAL ORCHID HOTEL
CHEVIOT,Cheviot Company Limited
WALCHANNAG,WALCHANDNAGAR IND
MANAKSIA,MANAKSIA LTD
HITECHGEAR,THE HI-TECH GEARS
FOODSIN,Foods & Inns Limited
PAKKA,PAKKA LIMITED
BIRLACABLE,BIRLA CABLE LTD
KOTHARIPET,KOTHARI PETROCHEM
SAKAR,SAKAR HEALTHCARE L
KOTYARK,error
TBZ,TRIBHOVANDAS BHIMJ
SANDESH,SANDESH
HEXATRADEX,HEXA TRADEX LTD
BCONCEPTS,Brand Concepts Limited
VINYLINDIA,VINYL CHEMICALS(IN
OCCL,ORIENTAL CARB & CH
DMCC,DMCC SPECIALITY CHEMICALS
3IINFOLTD,3i Infotech Limited
STCINDIA,STATE TRD CORP IND
CREST,CREST VENTURES
DENORA,DE NORA INDIA
SWELECTES,SWELECT ENERGY SYS
ZUARI,ZUARI AGRO CHEMICA
DECCANCE,DECCAN CEMENT
DSSL,DYNACONS SYS SOLUT
MOLDTECH,MOLD-TEK TECHNOLO
RUBYMILLS,RUBY MILLS
DHANBANK,DHANLAXMI BANK LTD
URJA,URJA GLOBAL LTD
NAGAFERT,NAGARJUNA FERTILIZ
MAANALU,MAAN ALUMINIUM LTD
MENONBE,MENON BEARINGS LTD
SUKHJITS,Sukhjit Starch & Chem Ltd
PLASTIBLEN,PLASTIBLENDS INDIA
MEDICAMEQ,Medicamen Biotech Limited
GSLSU,Global Surfaces Limited
ADSL,ALLIED DIGITAL SER
VALIANTLAB,Valiant Laboratories Ltd
BALAJITELE,BALAJI TELEFILMS
JAYAGROGN,JAYANT AGRO-ORG
SELAN,SELAN EXPLORATION
MICEL,MIC Electronics Ltd
VISAKAIND,VISAKA IND
ESTER,ESTER INDUSTRIES
EMKAYTOOLS,error
KECL,KIRLOSKAR ELECTRIC
ELIN,Elin Electronics Limited
INDOBORAX,Indo Borax & Chemical Ltd
ARIHANTCAP,Arihant Capital Mkts Ltd
DHUNINV,DHUNSERI INVESTMEN
NECLIFE,NECTAR LIFESCIENCE
SEMAC,SEMAC CONSULTANTS LIMITED
EMAMIPAP,Emami Paper Mills Limited
BHAGERIA,BHAGERIA INDUSTRIE
ELDEHSG,ELDECO HSG & IND LTD
VLSFINANCE,VLS FIN LTD INDIA
VIKASLIFE,VIKAS LIFECARE LIMITED
SHREEPUSHK,SHREE PUSHKAR CHEM
FCSSOFT,FCS SOFTWARE SOLUT
PYRAMID,Pyramid Technoplast Ltd
CHEMBOND,Chembond Chemicals Ltd
MAXIND,Max India Limited
INDOTECH,INDO TECH TRANFORM
BGRENERGY,BGR ENERGY SYSTEMS
APEX,APEX FROZEN FOODS
MEDICO,Medico Remedies Limited
BASILIC,error
MALLCOM,Mallcom (India) Limited
NRAIL,NR AGARWAL IND
SALZERELEC,SALZER ELECTRONICS
AXITA,Axita Cotton Limited
OSWALGREEN,OSWAL GREENTECH LIMITED
KHAICHEM,Khaitan Chem & Fert Ltd
HMVL,HINDUSTAN MEDIA VE
HCL-INSYS,HCL INFOSYSTEMS
HINDCOMPOS,HINDUSTAN COMPOSIT
CELLECOR,error
GHCLTEXTIL,GHCL Textiles Limited
KAMATHOTEL,KAMAT HOTELS (IND)
ASAL,AUTOMOTIVE STAMPIN
TVSELECT,TVS ELECTRONICS
ARROWGREEN,ARROW GREENTECH LI
ESSARSHPNG,ESSAR SHIPPING LTD
IRISDOREME,Iris Clothings Limited
RBL,RANE BRAKE LINING
RITCO,Ritco Logistics Limited
JETAIRWAYS,JET AIRWAYS INDIA
VERTOZ,Vertoz Advertising Ltd
LOKESHMACH,LOKESH MACHINES
DIGISPICE,DIGISPICE TECHNOLOGIES LT
JPOLYINVST,JINDAL POLY INV &
GRPLTD,GRP LTD
KHADIM,KHADIM INDIA LTD
MIRZAINT,MIRZA INTERNATIONA
VLEGOV,VL E Gov and IT Sol Ltd
HUBTOWN,HUBTOWN LIMITED
SBC,SBC Exports Limited
APCL,ANJANI PRTLND CEMT
DEEPENR,DEEP ENE RESOURCES LTD
20MICRONS,20 MICRONS LTD
MUTHOOTCAP,MUTHOOT CAPITAL SE
RACE,Race Eco Chain Limited
ACCENTMIC,error
SHREYAS,SHREYAS SHIP & LO
INDSWFTLAB,IND SWIFT LABS
GLOBAL,Global Education Limited
ORIENTCER,ORIENT CERATECH LIMITED
JINDALPHOT,JINDAL PHOTO LTD
KRISHIVAL,error
THEINVEST,THE INVESTMENT TRU
MACPOWER,Macpower CNC Machines Ltd
KILITCH,KILITCH DRUGS(INDI
STEL,STEL HOLDINGS LTD
MINDTECK,MINDTECK(INDIA)
ORIENTBELL,ORIENT BELL LTD
HTMEDIA,HT MEDIA LTD
RADIOCITY,MUSIC BROADCAST
NIPPOBATRY,INDO NATIONAL LTD
OSIAHYPER,Osia Hyper Retail Ltd
ZUARIIND,ZUARI INDUSTRIES LIMITED
KANORICHEM,KANORIA CHEMICALS
BIRLAMONEY,ADITYA BIRLA MONEY
POCL,Pondy Oxides & Chem Ltd
MUNJALSHOW,MUNJAL SHOWA
INTLCONV,Intl Conveyors Limited
AARTISURF,Aarti Surfactants Limited
BBTCL,B&B Triplewall Cont Ltd
CYBERTECH,CYBERTECH SYSTEMS
COOLCAPS,error
ZIMLAB,Zim Laboratories Limited
RATNAVEER,Ratnaveer Precision Eng L
PRIMESECU,PRIME SECURITIES
BEDMUTHA,BEDMUTHA INDUSTRIE
ALBERTDAVD,ALBERT DAVID
KRITI,Kriti Industries Ind Ltd
NAHARPOLY,NAHAR POLY FILMS
WINDMACHIN,WINDSOR MACHINES
UNIDT,United Drilling Tools Ltd
NAHARINDUS,NAHAR IND ENTERPRI
CLEDUCATE,CL EDUCATE LTD
PTL,PTL ENTERPRISES LT
WEL,WONDER ELECTRICALS LTD
VENUSREM,VENUS REMEDIES LTD
DIAMINESQ,Diamines  & Chemicals Ltd
WSI,WS INDUSTRIES(IND)
GOKUL,GOKUL REFOILS & SO
SARVESHWAR,Sarveshwar Foods Limited
MMP,MMP Industries Limited
RADHIKAJWE,Radhika Jeweltech Limited
ORICONENT,ORICON ENTERPRISES
CHEMFAB,CHEMFAB ALKALIS
SAHANA,error
MAZDA,MAZDA LTD
GOACARBON,GOA CARBON
ANNAPURNA,error
PROZONER,PROZONE REALTY LIMITED
ASMS,Bartronics India Limited
EXXARO,Exxaro Tiles Limited
DONEAR,DONEAR INDUSTRIES
DOLPHIN,Dolphin Off Ent (Ind) L
NAHARCAP,NAHAR CAPITAL AND
